08/13/24 12:52:00 Training initiated with the following parameters:
Model Parameters: (('in_channels', 1), ('hidden_channels', 32), ('out_channels', 64), ('conv_kernel_size', 5), ('pool_kernel_size', 2), ('pool_stride', 2), ('dropout', 0.5), ('leak', 0.4), ('input_size', 8192))

08/13/24 12:52:01 (0m 00s) | [1/20] Batch 0 (0.680s) | LR: 0.0001 | Loss: 1.3757 | Abs. Loss: 1.38
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 12 (0.017s) | LR: 0.0001 | Loss: 1.2646 | Abs. Loss: 17.55
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 13 (0.018s) | LR: 0.0001 | Loss: 1.2812 | Abs. Loss: 18.83
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 14 (0.018s) | LR: 0.0001 | Loss: 1.2213 | Abs. Loss: 20.05
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 15 (0.019s) | LR: 0.0001 | Loss: 1.2566 | Abs. Loss: 21.30
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 16 (0.018s) | LR: 0.0001 | Loss: 1.2582 | Abs. Loss: 22.56
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 17 (0.018s) | LR: 0.0001 | Loss: 1.0940 | Abs. Loss: 23.66
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 18 (0.020s) | LR: 0.0001 | Loss: 1.1134 | Abs. Loss: 24.77
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 19 (0.018s) | LR: 0.0001 | Loss: 1.2279 | Abs. Loss: 26.00
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 20 (0.017s) | LR: 0.0001 | Loss: 1.4056 | Abs. Loss: 27.40
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 21 (0.018s) | LR: 0.0001 | Loss: 1.3963 | Abs. Loss: 28.80
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 22 (0.020s) | LR: 0.0001 | Loss: 1.2267 | Abs. Loss: 30.03
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 23 (0.017s) | LR: 0.0001 | Loss: 1.0895 | Abs. Loss: 31.12
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 24 (0.018s) | LR: 0.0001 | Loss: 1.3011 | Abs. Loss: 32.42
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 25 (0.019s) | LR: 0.0001 | Loss: 1.2216 | Abs. Loss: 33.64
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 26 (0.019s) | LR: 0.0001 | Loss: 1.3071 | Abs. Loss: 34.95
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 27 (0.017s) | LR: 0.0001 | Loss: 1.2369 | Abs. Loss: 36.18
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 28 (0.018s) | LR: 0.0001 | Loss: 1.2246 | Abs. Loss: 37.41
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 29 (0.018s) | LR: 0.0001 | Loss: 1.2793 | Abs. Loss: 38.69
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 30 (0.020s) | LR: 0.0001 | Loss: 1.1725 | Abs. Loss: 39.86
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 31 (0.018s) | LR: 0.0001 | Loss: 1.2261 | Abs. Loss: 41.09
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 32 (0.019s) | LR: 0.0001 | Loss: 1.2211 | Abs. Loss: 42.31
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 33 (0.019s) | LR: 0.0001 | Loss: 1.2003 | Abs. Loss: 43.51
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 34 (0.016s) | LR: 0.0001 | Loss: 1.3199 | Abs. Loss: 44.83
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 35 (0.018s) | LR: 0.0001 | Loss: 1.1436 | Abs. Loss: 45.97
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 36 (0.018s) | LR: 0.0001 | Loss: 1.2275 | Abs. Loss: 47.20
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 37 (0.019s) | LR: 0.0001 | Loss: 1.2909 | Abs. Loss: 48.49
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 38 (0.017s) | LR: 0.0001 | Loss: 1.3807 | Abs. Loss: 49.87
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 39 (0.018s) | LR: 0.0001 | Loss: 1.2272 | Abs. Loss: 51.10
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 40 (0.018s) | LR: 0.0001 | Loss: 1.2699 | Abs. Loss: 52.37
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 41 (0.019s) | LR: 0.0001 | Loss: 1.3570 | Abs. Loss: 53.72
08/13/24 12:52:02 (0m 01s) | [1/20] Batch 42 (0.017s) | LR: 0.0001 | Loss: 1.1734 | Abs. Loss: 54.90
08/13/24 12:52:02 (0m 02s) | [1/20] Batch 43 (0.018s) | LR: 0.0001 | Loss: 1.3471 | Abs. Loss: 56.24
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 44 (0.018s) | LR: 0.0001 | Loss: 1.2854 | Abs. Loss: 57.53
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 45 (0.016s) | LR: 0.0001 | Loss: 1.3031 | Abs. Loss: 58.83
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 46 (0.017s) | LR: 0.0001 | Loss: 1.3047 | Abs. Loss: 60.14
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 47 (0.018s) | LR: 0.0001 | Loss: 1.2637 | Abs. Loss: 61.40
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 48 (0.018s) | LR: 0.0001 | Loss: 1.2787 | Abs. Loss: 62.68
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 49 (0.019s) | LR: 0.0001 | Loss: 1.2664 | Abs. Loss: 63.95
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 50 (0.016s) | LR: 0.0001 | Loss: 1.2400 | Abs. Loss: 65.19
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 51 (0.018s) | LR: 0.0001 | Loss: 1.1999 | Abs. Loss: 66.39
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 52 (0.018s) | LR: 0.0001 | Loss: 1.2898 | Abs. Loss: 67.68
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 53 (0.020s) | LR: 0.0001 | Loss: 1.3230 | Abs. Loss: 69.00
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 54 (0.017s) | LR: 0.0001 | Loss: 1.3354 | Abs. Loss: 70.33
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 55 (0.018s) | LR: 0.0001 | Loss: 1.2097 | Abs. Loss: 71.54
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 56 (0.018s) | LR: 0.0001 | Loss: 1.3065 | Abs. Loss: 72.85
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 57 (0.018s) | LR: 0.0001 | Loss: 1.1760 | Abs. Loss: 74.03
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 58 (0.017s) | LR: 0.0001 | Loss: 1.1402 | Abs. Loss: 75.17
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 59 (0.018s) | LR: 0.0001 | Loss: 1.2444 | Abs. Loss: 76.41
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 60 (0.018s) | LR: 0.0001 | Loss: 1.2782 | Abs. Loss: 77.69
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 61 (0.018s) | LR: 0.0001 | Loss: 1.3071 | Abs. Loss: 79.00
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 62 (0.016s) | LR: 0.0001 | Loss: 1.2608 | Abs. Loss: 80.26
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 63 (0.018s) | LR: 0.0001 | Loss: 1.2436 | Abs. Loss: 81.50
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 64 (0.018s) | LR: 0.0001 | Loss: 1.1505 | Abs. Loss: 82.65
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 65 (0.020s) | LR: 0.0001 | Loss: 1.3620 | Abs. Loss: 84.01
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 66 (0.016s) | LR: 0.0001 | Loss: 1.2587 | Abs. Loss: 85.27
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 67 (0.018s) | LR: 0.0001 | Loss: 1.2039 | Abs. Loss: 86.48
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 68 (0.018s) | LR: 0.0001 | Loss: 1.2868 | Abs. Loss: 87.76
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 69 (0.020s) | LR: 0.0001 | Loss: 1.2349 | Abs. Loss: 89.00
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 70 (0.018s) | LR: 0.0001 | Loss: 1.2214 | Abs. Loss: 90.22
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 71 (0.018s) | LR: 0.0001 | Loss: 1.2485 | Abs. Loss: 91.47
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 72 (0.019s) | LR: 0.0001 | Loss: 1.1953 | Abs. Loss: 92.66
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 73 (0.018s) | LR: 0.0001 | Loss: 1.2674 | Abs. Loss: 93.93
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 74 (0.017s) | LR: 0.0001 | Loss: 1.3217 | Abs. Loss: 95.25
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 75 (0.018s) | LR: 0.0001 | Loss: 1.2214 | Abs. Loss: 96.47
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 76 (0.019s) | LR: 0.0001 | Loss: 1.1290 | Abs. Loss: 97.60
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 77 (0.017s) | LR: 0.0001 | Loss: 1.3469 | Abs. Loss: 98.95
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 78 (0.018s) | LR: 0.0001 | Loss: 1.2593 | Abs. Loss: 100.21
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 79 (0.018s) | LR: 0.0001 | Loss: 1.3088 | Abs. Loss: 101.52
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 80 (0.018s) | LR: 0.0001 | Loss: 1.1340 | Abs. Loss: 102.65
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 81 (0.018s) | LR: 0.0001 | Loss: 1.3859 | Abs. Loss: 104.04
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 82 (0.018s) | LR: 0.0001 | Loss: 1.1845 | Abs. Loss: 105.22
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 83 (0.018s) | LR: 0.0001 | Loss: 1.3279 | Abs. Loss: 106.55
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 84 (0.020s) | LR: 0.0001 | Loss: 1.2398 | Abs. Loss: 107.79
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 85 (0.016s) | LR: 0.0001 | Loss: 1.2157 | Abs. Loss: 109.01
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 86 (0.018s) | LR: 0.0001 | Loss: 1.1932 | Abs. Loss: 110.20
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 87 (0.018s) | LR: 0.0001 | Loss: 1.1573 | Abs. Loss: 111.36
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 88 (0.019s) | LR: 0.0001 | Loss: 1.1633 | Abs. Loss: 112.52
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 89 (0.016s) | LR: 0.0001 | Loss: 1.3205 | Abs. Loss: 113.84
08/13/24 12:52:03 (0m 02s) | [1/20] Batch 90 (0.018s) | LR: 0.0001 | Loss: 1.1734 | Abs. Loss: 115.01
08/13/24 12:52:03 (0m 03s) | [1/20] Batch 91 (0.018s) | LR: 0.0001 | Loss: 1.1149 | Abs. Loss: 116.13
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 92 (0.021s) | LR: 0.0001 | Loss: 1.3200 | Abs. Loss: 117.45
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 93 (0.017s) | LR: 0.0001 | Loss: 1.4388 | Abs. Loss: 118.89
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 94 (0.018s) | LR: 0.0001 | Loss: 1.3171 | Abs. Loss: 120.20
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 95 (0.018s) | LR: 0.0001 | Loss: 1.3028 | Abs. Loss: 121.51
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 96 (0.019s) | LR: 0.0001 | Loss: 1.3629 | Abs. Loss: 122.87
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 97 (0.017s) | LR: 0.0001 | Loss: 1.2882 | Abs. Loss: 124.16
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 98 (0.018s) | LR: 0.0001 | Loss: 1.2999 | Abs. Loss: 125.46
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 99 (0.019s) | LR: 0.0001 | Loss: 1.2429 | Abs. Loss: 126.70
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 100 (0.017s) | LR: 0.0001 | Loss: 1.2987 | Abs. Loss: 128.00
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 101 (0.018s) | LR: 0.0001 | Loss: 1.3216 | Abs. Loss: 129.32
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 102 (0.018s) | LR: 0.0001 | Loss: 1.3234 | Abs. Loss: 130.64
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 103 (0.020s) | LR: 0.0001 | Loss: 1.2696 | Abs. Loss: 131.91
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 104 (0.018s) | LR: 0.0001 | Loss: 1.2760 | Abs. Loss: 133.19
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 105 (0.018s) | LR: 0.0001 | Loss: 1.2047 | Abs. Loss: 134.39
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 106 (0.019s) | LR: 0.0001 | Loss: 1.2816 | Abs. Loss: 135.68
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 107 (0.018s) | LR: 0.0001 | Loss: 1.1806 | Abs. Loss: 136.86
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 108 (0.018s) | LR: 0.0001 | Loss: 1.2694 | Abs. Loss: 138.13
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 109 (0.018s) | LR: 0.0001 | Loss: 1.3792 | Abs. Loss: 139.51
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 110 (0.018s) | LR: 0.0001 | Loss: 1.4060 | Abs. Loss: 140.91
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 111 (0.016s) | LR: 0.0001 | Loss: 1.2329 | Abs. Loss: 142.14
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 112 (0.018s) | LR: 0.0001 | Loss: 1.2386 | Abs. Loss: 143.38
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 113 (0.018s) | LR: 0.0001 | Loss: 1.2742 | Abs. Loss: 144.66
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 114 (0.019s) | LR: 0.0001 | Loss: 1.1875 | Abs. Loss: 145.84
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 115 (0.018s) | LR: 0.0001 | Loss: 1.2633 | Abs. Loss: 147.11
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 116 (0.018s) | LR: 0.0001 | Loss: 1.2104 | Abs. Loss: 148.32
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 117 (0.019s) | LR: 0.0001 | Loss: 1.2936 | Abs. Loss: 149.61
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 118 (0.018s) | LR: 0.0001 | Loss: 1.2668 | Abs. Loss: 150.88
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 119 (0.017s) | LR: 0.0001 | Loss: 1.2292 | Abs. Loss: 152.11
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 120 (0.018s) | LR: 0.0001 | Loss: 1.2054 | Abs. Loss: 153.31
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 121 (0.020s) | LR: 0.0001 | Loss: 1.3281 | Abs. Loss: 154.64
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 122 (0.018s) | LR: 0.0001 | Loss: 1.1357 | Abs. Loss: 155.78
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 123 (0.018s) | LR: 0.0001 | Loss: 1.2496 | Abs. Loss: 157.03
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 124 (0.018s) | LR: 0.0001 | Loss: 1.3589 | Abs. Loss: 158.39
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 125 (0.018s) | LR: 0.0001 | Loss: 1.2909 | Abs. Loss: 159.68
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 126 (0.017s) | LR: 0.0001 | Loss: 1.2610 | Abs. Loss: 160.94
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 127 (0.018s) | LR: 0.0001 | Loss: 1.1439 | Abs. Loss: 162.08
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 128 (0.011s) | LR: 0.0001 | Loss: 1.1382 | Abs. Loss: 163.22
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 129 (0.018s) | LR: 0.0001 | Loss: 1.3692 | Abs. Loss: 164.59
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 130 (0.019s) | LR: 0.0001 | Loss: 1.3141 | Abs. Loss: 165.90
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 131 (0.018s) | LR: 0.0001 | Loss: 1.2685 | Abs. Loss: 167.17
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 132 (0.018s) | LR: 0.0001 | Loss: 1.2640 | Abs. Loss: 168.44
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 133 (0.018s) | LR: 0.0001 | Loss: 1.1878 | Abs. Loss: 169.62
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 134 (0.020s) | LR: 0.0001 | Loss: 1.2831 | Abs. Loss: 170.91
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 135 (0.016s) | LR: 0.0001 | Loss: 1.1299 | Abs. Loss: 172.04
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 136 (0.018s) | LR: 0.0001 | Loss: 1.2796 | Abs. Loss: 173.32
08/13/24 12:52:04 (0m 03s) | [1/20] Batch 137 (0.018s) | LR: 0.0001 | Loss: 1.2522 | Abs. Loss: 174.57
08/13/24 12:52:04 (0m 04s) | [1/20] Batch 138 (0.020s) | LR: 0.0001 | Loss: 1.2750 | Abs. Loss: 175.84
08/13/24 12:52:04 (0m 04s) | [1/20] Batch 139 (0.017s) | LR: 0.0001 | Loss: 1.2976 | Abs. Loss: 177.14
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 140 (0.017s) | LR: 0.0001 | Loss: 1.2299 | Abs. Loss: 178.37
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 141 (0.018s) | LR: 0.0001 | Loss: 1.3128 | Abs. Loss: 179.68
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 142 (0.018s) | LR: 0.0001 | Loss: 1.2066 | Abs. Loss: 180.89
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 143 (0.018s) | LR: 0.0001 | Loss: 1.2376 | Abs. Loss: 182.13
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 144 (0.019s) | LR: 0.0001 | Loss: 1.1802 | Abs. Loss: 183.31
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 145 (0.021s) | LR: 0.0001 | Loss: 1.2267 | Abs. Loss: 184.53
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 146 (0.017s) | LR: 0.0001 | Loss: 1.1401 | Abs. Loss: 185.67
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 147 (0.018s) | LR: 0.0001 | Loss: 1.2341 | Abs. Loss: 186.91
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 148 (0.019s) | LR: 0.0001 | Loss: 1.3257 | Abs. Loss: 188.23
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 149 (0.018s) | LR: 0.0001 | Loss: 1.3522 | Abs. Loss: 189.59
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 150 (0.017s) | LR: 0.0001 | Loss: 1.2243 | Abs. Loss: 190.81
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 151 (0.018s) | LR: 0.0001 | Loss: 1.3093 | Abs. Loss: 192.12
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 152 (0.018s) | LR: 0.0001 | Loss: 1.2565 | Abs. Loss: 193.38
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 153 (0.018s) | LR: 0.0001 | Loss: 1.2629 | Abs. Loss: 194.64
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 154 (0.018s) | LR: 0.0001 | Loss: 1.1669 | Abs. Loss: 195.81
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 155 (0.018s) | LR: 0.0001 | Loss: 1.2058 | Abs. Loss: 197.01
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 156 (0.018s) | LR: 0.0001 | Loss: 1.2123 | Abs. Loss: 198.22
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 157 (0.017s) | LR: 0.0001 | Loss: 1.2071 | Abs. Loss: 199.43
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 158 (0.018s) | LR: 0.0001 | Loss: 1.3017 | Abs. Loss: 200.73
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 159 (0.019s) | LR: 0.0001 | Loss: 1.2311 | Abs. Loss: 201.96
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 160 (0.017s) | LR: 0.0001 | Loss: 1.1763 | Abs. Loss: 203.14
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 161 (0.017s) | LR: 0.0001 | Loss: 1.2512 | Abs. Loss: 204.39
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 162 (0.018s) | LR: 0.0001 | Loss: 1.1492 | Abs. Loss: 205.54
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 163 (0.019s) | LR: 0.0001 | Loss: 1.2062 | Abs. Loss: 206.75
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 164 (0.018s) | LR: 0.0001 | Loss: 1.1676 | Abs. Loss: 207.91
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 165 (0.018s) | LR: 0.0001 | Loss: 1.2952 | Abs. Loss: 209.21
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 166 (0.018s) | LR: 0.0001 | Loss: 1.2344 | Abs. Loss: 210.44
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 167 (0.020s) | LR: 0.0001 | Loss: 1.1623 | Abs. Loss: 211.61
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 168 (0.017s) | LR: 0.0001 | Loss: 1.2538 | Abs. Loss: 212.86
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 169 (0.018s) | LR: 0.0001 | Loss: 1.2170 | Abs. Loss: 214.08
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 170 (0.018s) | LR: 0.0001 | Loss: 1.1024 | Abs. Loss: 215.18
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 171 (0.020s) | LR: 0.0001 | Loss: 1.2642 | Abs. Loss: 216.44
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 172 (0.018s) | LR: 0.0001 | Loss: 1.1113 | Abs. Loss: 217.56
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 173 (0.018s) | LR: 0.0001 | Loss: 1.1512 | Abs. Loss: 218.71
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 174 (0.019s) | LR: 0.0001 | Loss: 1.1611 | Abs. Loss: 219.87
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 175 (0.017s) | LR: 0.0001 | Loss: 1.3971 | Abs. Loss: 221.27
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 176 (0.018s) | LR: 0.0001 | Loss: 1.2283 | Abs. Loss: 222.49
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 177 (0.018s) | LR: 0.0001 | Loss: 1.1359 | Abs. Loss: 223.63
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 178 (0.019s) | LR: 0.0001 | Loss: 1.2131 | Abs. Loss: 224.84
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 179 (0.018s) | LR: 0.0001 | Loss: 1.3185 | Abs. Loss: 226.16
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 180 (0.018s) | LR: 0.0001 | Loss: 1.1012 | Abs. Loss: 227.26
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 181 (0.018s) | LR: 0.0001 | Loss: 1.2787 | Abs. Loss: 228.54
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 182 (0.020s) | LR: 0.0001 | Loss: 1.1923 | Abs. Loss: 229.73
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 183 (0.018s) | LR: 0.0001 | Loss: 1.1678 | Abs. Loss: 230.90
08/13/24 12:52:05 (0m 04s) | [1/20] Batch 184 (0.018s) | LR: 0.0001 | Loss: 1.2505 | Abs. Loss: 232.15
08/13/24 12:52:05 (0m 05s) | [1/20] Batch 185 (0.019s) | LR: 0.0001 | Loss: 1.2433 | Abs. Loss: 233.39
08/13/24 12:52:05 (0m 05s) | [1/20] Batch 186 (0.017s) | LR: 0.0001 | Loss: 1.2177 | Abs. Loss: 234.61
08/13/24 12:52:06 (0m 05s) | [1/20] Batch 187 (0.018s) | LR: 0.0001 | Loss: 1.2912 | Abs. Loss: 235.90
08/13/24 12:52:06 (0m 05s) | [1/20] Batch 188 (0.018s) | LR: 0.0001 | Loss: 1.1663 | Abs. Loss: 237.07
